#OTU ID	MTC10T1	MTC10T2	MTT10T4	MTT10T5	MTT10T7	MTT10T11	MTT10T12	MTT10T13	MTT10T14	MTT10T15	MTT10T9	MTB10T16	MTB10T17	MTB10T18	MTB10T19	MTB10T20	MTB10T21	MTB10T23	MTB10T24	MTB10T25
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.875451201489999e-06	0.0	1.80978278082e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.0	0.0	2.04574280921e-05	1.41153221822e-05	0.0	0.0	7.963051441310001e-06	0.0	0.0	0.0	0.000268438981043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.25651658768e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52445695205e-06	9.25651658768e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	0.0	6.68238618464e-05	7.16009983225e-05	0.0	0.0	0.0	3.98152572066e-05	0.000130633572828	7.87596480569e-05	0.0001628804502739	0.0	7.40071934992e-05	0.000856931790199	0.0008873355486539	0.0002428392768249	0.000306933630718	0.00333082156625	0.00709782429537	0.000146275565957	0.0004147006782659
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	6.74745620901e-06	9.54626597806e-06	0.0	0.0	0.0	7.99961601843e-06	7.963051441310001e-06	0.0	0.0011026350728	9.04891390411e-06	7.40521327014e-05	1.48014386998e-05	0.0	0.0	4.85678553649e-05	0.0	0.0	0.0	8.60444505632e-06	0.0002303892657029
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.0	0.0	1.41153221822e-05	0.0	0.0	0.000103519668737	0.00202825810444	0.00451180269583	0.00261513611829	5.55390995261e-05	0.0	0.0	0.0	0.0	0.0	1.09207264467e-05	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	0.0	0.000448674500969	3.06861421382e-05	1.41153221822e-05	0.0	1.59992320369e-05	8.75935658544e-05	0.000130633572828	0.00014626791782	0.000180978278082	0.000407286729858	0.0	4.92489534597e-05	0.0	2.42839276825e-05	0.0	0.0	2.06032635569e-05	0.0	9.21557062813e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	4.04847372541e-05	0.00185197559974	0.000143201996645	0.000522266920742	0.000362302431955	0.000199990400461	0.0002309284917979	0.00153322561793	0.00149643331308	0.0020043344297599	0.0114317979858	0.000236823019197	0.000344742674218	6.33811106181e-05	0.00148131958863	0.000112542331263	0.000851816662844	0.000154524476677	6.88355604505e-05	3.68622825125e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	5.39796496721e-05	0.0	0.0	0.0	0.0	7.99961601843e-06	0.0	0.000900684107395	0.0	4.52445695205e-06	3.70260663507e-05	0.0	3.93991627678e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.3862311408599999	0.25952478688	0.7429319585940001	0.7025548733149999	0.332608728469	0.486928627426	0.445198279981	0.517659596411	0.447253538558	0.656037209134	0.7160656101899999	0.305723716345	0.411987195272	0.474570592976	0.341941985697	0.293776409081	0.276960543415	0.489162683369	0.421944776672	0.317356605721
k__Bacteria;p__Firmicutes;c__Clostridia;o__MBA08	0.0	0.0	0.0	0.0	1.50959346648e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__OPB54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00140347089147	0.00204290091931	0.00884783764985	0.0035288305455599	0.00291351539031	0.00461577844263	0.00276317885014	0.0063735432637799	0.00336416210986	0.0344582641468	0.1082642180089999	0.00198339278578	0.00373307067225	0.00263484331284	0.00495392124722	0.00460400446077	0.00898775786565	0.00304928300643	0.00213390237397	0.00352956355058
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.0	0.0	0.0	7.0576610911100006e-06	0.0	0.0	0.0	6.875451201489999e-06	0.0	1.35733708562e-05	9.25651658768e-06	0.0	0.0	1.8108888748e-05	0.0	0.0	0.0	6.18097906708e-05	0.0	0.0
k__Bacteria;p__GN02;c__3BR-5F;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	0.0	0.0	1.02287140461e-05	7.0576610911100006e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000108347697611	9.05444437402e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1;c__ABY1;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__OM190;o__agg27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
