taxonomy	SRR5761074	SRR5761072	SRR5761061	SRR5761056	SRR5761078	SRR5760958	SRR5760872	SRR5761156	SRR5761157	SRR5761163	SRR5761051	SRR5761052	SRR5760938	SRR5760937	SRR5760861	SRR5760858	SRR5760892	SRR5761164	SRR5761158	SRR5761045	SRR5760959	SRR5760957	SRR5761010	SRR5761015	SRR5761023	SRR5761026	SRR5761197	SRR5761199	SRR5760932	SRR5760974	SRR5761102	SRR5761101	SRR5761129	SRR5761135	SRR5760877	SRR5760876	SRR5760881	SRR5760916	SRR5761000	SRR5761179	SRR5761110	SRR5760989	SRR5760952	SRR5760948
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0	0.0225392886683209	0.0	0.0098383696416022	0.0	0.0052188352508599	0.0	0.0	0.0	0.0	0.0	0.0160531414337115	0.0	0.0	0.0	0.0188362791897819	0.0032450674974039	0.0606246172688303	0.0	0.005113807279655	0.0352128883774453	0.0	0.0933482392397987	0.0473251028806584	0.0	0.0188760188760188	0.0	0.0	0.113564668769716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033753375337533	0.0	0.0100102669404517	0.0604346531705864	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	0.0	0.0	0.0	0.0	0.0493262752646775	0.0014233187047799	0.0	0.0018453967603034	0.0007003891050583	0.0	0.0014796547472256	0.029615278162192	0.0217762167586552	0.0007063393960798	0.0102074780872073	0.0019352341633337	0.021417445482866	0.0028577260665441	0.0	0.0192519803469367	0.0304948216340621	0.0123913445533567	0.0061486864169927	0.0	0.0125	0.0	0.0108968985750209	0.0	0.0	0.0	0.0036275695284159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0084880636604774	0.0	0.0062518606728192	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.0	0.0087882547559966	0.0	0.007905832747716	0.0	0.0	0.0	0.0003075661267172	0.0	0.0	0.0044389642416769	0.000691945751453	0.0010035122930255	0.0	0.0036613780095417	0.0016772029415559	0.0681464174454828	0.0254133496631965	0.0	0.0009024365787626	0.0	0.0	0.0	0.0	0.1569444444444444	0.0	0.0	0.0	0.0	0.0	0.0205562273276904	0.0	0.0362976406533575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052539404553415	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.0	0.0037220843672456	0.007176287051482	0.0346099789177793	0.0	0.0	0.0152450791200308	0.0108673364773426	0.0028015564202334	0.0023241262179315	0.0098643649815043	0.0253252145031829	0.0046161565479177	0.0053858378951085	0.0120936425163652	0.0144497484195587	0.021417445482866	0.0	0.09375	0.0125338413717035	0.0	0.0	0.0273896031302403	0.0	0.0	0.0	0.0	0.0	0.0	0.0388921626399528	0.0350665054413542	0.1179577464788732	0.0	0.0223684210526315	0.0279503105590062	0.0	0.0	0.0	0.0217506631299734	0.0205338809034907	0.0	0.0099517490952955	0.0166374781085814	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.0107737512242899	0.0061000827129859	0.0039001560062402	0.0033380182712579	0.0015640038498556	0.0	0.0	0.0	0.0066147859922178	0.0088495575221238	0.0086313193588162	0.0157763631331303	0.0019066733567486	0.0	0.0	0.0199974196877822	0.0	0.1107368850785874	0.0	0.0124335706407299	0.0098964326812428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02397476340694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0296875	0.0	0.0	0.0	0.0264959809467103	0.0144752714113389	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	0.0006529546196539	0.0	0.0	0.0	0.0	0.0052188352508599	0.0	0.0	0.0	0.0006257262894431	0.0008631319358816	0.0	0.0	0.0108599682147271	0.0	0.001419171719778	0.0	0.0022453561951418	0.0	0.0015040609646044	0.0	0.0270945071203994	0.0	0.0	0.0	0.1093951093951094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053050397877984	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__stercorea	0.0	0.0	0.0	0.0096626844694307	0.0040904716073147	0.0283477642035345	0.0081049787726746	0.0	0.0228015564202334	0.0202914096719406	0.01442663378545	0.027816219208414	0.0035122930255895	0.0030902348578491	0.0	0.0	0.0	0.0158195550112267	0.0	0.0389050436177679	0.0139240506329113	0.0054558905122988	0.0	0.0	0.0	0.0107250107250107	0.0	0.0	0.0	0.0	0.0	0.0220070422535211	0.0	0.0	0.0	0.0272156315422191	0.0	0.0	0.0	0.0156570841889117	0.0	0.0	0.0	0.1984402079722703
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0.0058765915768854	0.0045492142266335	0.0012480499219968	0.0	0.0280317613089509	0.0046257857905349	0.0366653801620995	0.0462374410498257	0.0008560311284046	0.0013408420488066	0.008754623921085	0.0189593135898145	0.0381334671349724	0.0	0.0086541662043714	0.0047735776028899	0.0	0.0	0.0	0.0391055850797152	0.0044879171461449	0.001479563528759	0.0	0.0	0.0	0.0	0.0377200335289186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002466091245376	0.0	0.0	0.0	0.0033285254632197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0150880134115674	0.0	0.0	0.0	0.0084643288996372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0312997347480106	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0	0.0104425144747725	0.0045241809672386	0.0272312016865776	0.0	0.0	0.0	0.0	0.0	0.0	0.0048088779284833	0.0063659009133683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0832867523756288	0.0	0.0	0.0	0.0	0.0	0.0271293375394321	0.0318208603417796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0739219712525667	0.0333432569217028	0.037092882991556	0.0	0.0
