#OTU ID	MTC1T1	MTC1T2	MTT1T4	MTT1T5	MTT1T11	MTT1T12	MTT1T13	MTT1T15	MTT1T8	MTT1T9	MTT1T17
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	8.94294401717e-05	8.19161833612e-06	0.000122270564381	0.000107208537098	0.00039284419195	0.000278236675072	7.31809948956e-05	4.23746768931e-05	0.00031450936539	9.51957859999e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	6.56017318857e-05	0.0016196665275499	0.000475113863495	0.00825326309569	0.0066716697317299	0.00905052580684	0.0423441439875	0.0016099818877	0.00596635450655	0.28187028236	0.0165534894543999
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	6.56017318857e-05	0.00146068085614	0.00014744913005	0.0015691389095499	0.00594595040368	0.00803819654297	0.0494391792018	0.00444574543991	0.000601720411882	0.00562622309198	0.00729834359332
k__Bacteria;p__Bacteroidetes;c__;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.712311805032	0.693823406665	0.634694780301	0.0488572796836999	0.0724317370257	0.156374652484	0.0418746195983	0.412301725242	0.385499385567	0.0448350573106	0.203523301813
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	8.69489609599e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.0	0.0	1.63832366722e-05	0.0	1.6493621092e-05	0.0	0.0	0.0	3.38997415145e-05	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0	1.9873208927e-05	0.0	5.09460684919e-05	0.0	0.0	0.0	0.0	3.38997415145e-05	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	2.46006494571e-05	2.98098133906e-05	8.19161833612e-06	0.000173216632872	0.0007009788964119	0.000944336999879	0.00123467524563	0.000365904974478	0.0	0.0	0.00164477163589
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	0.000139403680257	0.0	0.0	3.05676410951e-05	3.29872421841e-05	0.0013749546718199	3.4779584384000006e-05	1.82952487239e-05	0.0	4.36818563042e-05	6.8752512111e-05
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	5.96196267811e-05	0.0	2.03784273968e-05	0.0	2.26640879971e-05	0.0067298495782999	0.00297297791763	0.0	3.49454850433e-05	0.0005817520255549
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	8.20021648572e-06	9.93660446352e-06	0.0	4.07568547935e-05	6.59744843682e-05	0.000226640879971	0.000182592818016	0.000402495471926	4.23746768931e-05	6.11545988258e-05	2.11546191111e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	8.20021648572e-05	0.00120232914009	0.000163832366722	0.00105967822463	0.000305131990203	0.00123141544784	0.0021563342318099	0.00198503448654	0.0002372981906009	0.0014764467430799	0.000391360453555
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	0.0	0.0	1.63832366722e-05	0.0	1.6493621092e-05	3.77734799952e-05	0.0	0.0	6.77994830289e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.268368484928	0.281275462549	0.335340279826	0.850636316395	0.753774977527	0.700690499214	0.7908181897229999	0.424916299237	0.5590491122510001	0.486379997204	0.6860231431530001
k__Bacteria;p__Firmicutes;c__Clostridia;o__MBA08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__OPB54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.000508413422114	0.00661777857271	0.00904354664307	0.0798019216857	0.128641997707	0.0441269793304	0.0543170159116999	0.0109222634882	0.0193652273401	0.160085266984	0.0584396352943999
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	8.20021648572e-06	0.0	1.63832366722e-05	1.01892136984e-05	0.0	7.55469599903e-06	3.4779584384000006e-05	0.0001097714923429	1.69498707572e-05	0.0	0.0191184870216
k__Bacteria;p__GN02;c__3BR-5F;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	0.0	0.000139112462489	8.19161833612e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11546191111e-05
k__Bacteria;p__OD1;c__ABY1;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__OM190;o__agg27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
