#SampleID,Region
SRR5802395,Jiangsu
SRR5802394,Jiangsu
SRR5580499,Jiangsu
SRR5580498,Jiangsu
SRR5602075,Jiangsu
SRR5602069,Jiangsu
SRR5580539,Jiangsu
SRR5602071,Jiangsu
SRR5580537,Jiangsu
SRR5580583,Jiangsu
SRR5610146,Jiangsu
SRR5610147,Jiangsu
SRR5802331,Jiangsu
SRR5802333,Jiangsu
SRR5610113,Jiangsu
SRR5610115,Jiangsu
SRR5610120,Jiangsu
SRR5610119,Jiangsu
SRR5610088,Jiangsu
SRR5610089,Jiangsu
SRR5610090,Jiangsu
SRR5610095,Jiangsu
SRR5610068,Jiangsu
SRR5802337,Jiangsu
SRR5610070,Jiangsu
SRR5610069,Jiangsu
SRR5802240,Jiangsu
SRR5802239,Jiangsu
SRR5802237,Jiangsu
SRR5610072,Jiangsu
SRR5802196,Jiangsu
SRR5610063,Jiangsu
SRR5610062,Jiangsu
SRR5610033,Jiangsu
SRR5610038,Jiangsu
SRR5610036,Jiangsu
SRR5609993,Jiangsu
SRR5609990,Jiangsu
SRR5609996,Jiangsu
SRR5609988,Jiangsu
SRR5610073,Jiangsu
SRR5610102,Jiangsu
SRR5610143,Jiangsu
SRR5610122,Jiangsu
SRR5610028,Jiangsu
SRR5610125,Jiangsu
SRR5610129,Jiangsu
SRR5802197,Jiangsu
SRR5802295,Jiangsu
SRR5610149,Jiangsu
SRR5802309,Jiangsu
SRR5802310,Jiangsu
SRR5802316,Jiangsu
SRR5802330,Jiangsu
SRR5802329,Jiangsu
SRR5802336,Jiangsu
SRR5610114,Jiangsu
SRR5802334,Jiangsu
SRR5610112,Jiangsu
SRR5610111,Jiangsu
SRR5610118,Jiangsu
SRR5610117,Jiangsu
SRR5610116,Jiangsu
SRR5610091,Jiangsu
SRR5610092,Jiangsu
SRR5610094,Jiangsu
SRR5610087,Jiangsu
SRR5802338,Jiangsu
SRR5610096,Jiangsu
SRR5610066,Jiangsu
SRR5610065,Jiangsu
SRR5610067,Jiangsu
SRR5802192,Jiangsu
SRR5802191,Jiangsu
SRR5802241,Jiangsu
SRR5802238,Jiangsu
SRR5802236,Jiangsu
SRR5802225,Jiangsu
SRR5802222,Jiangsu
SRR5610071,Jiangsu
SRR5610034,Jiangsu
SRR5610035,Jiangsu
SRR5610032,Jiangsu
SRR5610039,Jiangsu
SRR5610037,Jiangsu
SRR5610030,Jiangsu
SRR5610031,Jiangsu
SRR5609992,Jiangsu
SRR5609991,Jiangsu
SRR5609997,Jiangsu
SRR5609994,Jiangsu
SRR5609995,Jiangsu
SRR5609989,Jiangsu
SRR5609971,Jiangsu
SRR5609967,Jiangsu
SRR5610086,Jiangsu
SRR5609985,Jiangsu
SRR5610029,Jiangsu
SRR5610121,Jiangsu
SRR5610074,Jiangsu
SRR5610123,Jiangsu
SRR5610124,Jiangsu
SRR5610126,Jiangsu
SRR5610127,Jiangsu
SRR5610128,Jiangsu
SRR5802198,Jiangsu
SRR5610130,Jiangsu
SRR5802200,Jiangsu
SRR5802201,Jiangsu
SRR5802203,Jiangsu
SRR5802194,Jiangsu
SRR5802195,Jiangsu
SRR5802296,Jiangsu
SRR5802351,Jiangsu
SRR5802285,Jiangsu
SRR5802284,Jiangsu
SRR5802253,Jiangsu
SRR5802370,Jiangsu
SRR5802326,Jiangsu
SRR5802319,Jiangsu
SRR5802271,Jiangsu
SRR5802270,Jiangsu
SRR5802269,Jiangsu
SRR5802277,Jiangsu
SRR5802304,Jiangsu
SRR5802298,Jiangsu
SRR5802227,Jiangsu
SRR5802229,Jiangsu
SRR5802231,Jiangsu
SRR5802402,Jiangsu
SRR5802374,Jiangsu
SRR5802382,Jiangsu
SRR5802355,Jiangsu
SRR5802354,Jiangsu
SRR5802353,Jiangsu
SRR5802360,Jiangsu
SRR5802359,Jiangsu
SRR5802358,Jiangsu
