#OTU ID	MTC4T1	MTC4T2	MTT4T12a	MTT4T12b	MTT4T14	MTT4T9a	MTT4T9b	MTT4T17	MTB4T21	MTB4T22	MTB4T23	MTB4T24	MTB4T25
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.000762854338552	5.91136332928e-05	0.010350923504	0.0273381115923	0.000107482578865	0.00194833722789	0.000964167506116	0.000807426153021	1.44601658581e-05	4.35740395555e-05	0.000250073885466	2.09045394207e-05	0.000140498770636
k__Bacteria;p__Bacteroidetes;c__;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.430395615288	0.595932982029	0.0793997424268	0.20183166592	0.2411371656839999	0.348612287259	0.0926608145057	0.6406574291330001	0.7786437810439999	0.783988961243	0.692124946007	0.778558213916	0.7389649923899999
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08379349399e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.0	0.0	7.99916808652e-06	3.73301478274e-05	0.0	1.91013453714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0	0.0	0.0	0.0	0.0	0.0	1.43905597928e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.0	0.0	0.0	1.24433826091e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17082308863e-05
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	6.80252276416e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.4189674699400005e-06	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	9.71788966308e-06	0.0	7.19925127787e-05	7.46602956548e-05	8.95688157211e-06	7.64053814857e-05	5.75622391711e-05	0.0	7.23008292905e-06	1.93662398025e-05	4.54679791757e-05	2.09045394207e-05	4.68329235453e-05
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__IIb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.0	0.00018398086599	8.71036782639e-05	0.00178241943285	0.000286520180571	1.43905597928e-05	0.00143060741206	0.0	0.0	0.0	0.0	1.17082308863e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	4.85894483154e-05	8.44480475611e-06	0.0001519841936439	0.0001368772087	0.0001433101051539	5.73040361143e-05	4.31716793783e-05	5.4189674699400005e-06	0.0	0.0	0.0	1.04522697104e-05	4.68329235453e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.00075799539372	6.75584380489e-05	0.0852951293066	0.0113359215568999	0.00214069469573	0.0021711862572199	0.0034537343502699	0.00240060258918	5.78406634324e-05	2.90493597037e-05	0.000159137927115	4.18090788415e-05	0.000199039925067
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	3.88715586523e-05	8.44480475611e-06	0.0	0.0	0.0	0.000464799404038	0.000158296157721	0.0	0.0	6.77818393086e-05	0.000272807875054	3.13568091311e-05	0.000105374077977
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.425381184222	0.373859951358	0.62940654172	0.618436115674	0.686258352292	0.578866271481	0.8561375737520001	0.336458271241	0.189782446805	0.15786390375	0.197103689727	0.188527588766	0.1913124926819999
k__Bacteria;p__Firmicutes;c__Clostridia;o__MBA08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__OPB54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00145282450463	0.000971152546953	0.190372201291	0.1314270071179999	0.00655643731079	0.0367573556097	0.0397611167074	0.00828018229407	0.0014677068346	0.0019801980198	0.00453543092277	0.00145286548974	0.00396909027046
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.0	0.0	7.99916808652e-06	0.0	0.0	6.36711512381e-06	0.0	1.62569024098e-05	7.23008292905e-06	4.84155995062e-06	0.0	3.13568091311e-05	1.17082308863e-05
k__Bacteria;p__GN02;c__3BR-5F;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1;c__ABY1;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__OM190;o__agg27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.0	0.0	0.0	0.0	0.0	1.91013453714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	0.0	0.00502465882989	0.000239975042596	0.000609725747847	0.000107482578865	0.000356558446933	7.19527989639e-05	0.0	0.00147493691753	0.00220775133748	0.00284174869848	0.0009093474648019	0.0027865589509399
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.0	0.0	3.19966723461e-05	2.48867652183e-05	0.0	3.82026907429e-05	0.0	1.62569024098e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0.0	0.0	0.0	0.0	0.000376189026029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	4.85894483154e-06	0.0	1.5998336173e-05	0.0	0.0	6.36711512381e-06	1.43905597928e-05	0.0	0.0	0.0	0.0	2.09045394207e-05	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.0	0.0	3.99958404326e-05	3.73301478274e-05	4.47844078606e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.1132328503539999	0.0204364275098	0.00295169302393	0.00699318102633	0.0544399261953	0.00515099613516	0.0004748884731619	0.00225970943496	0.0201863915379	0.045684959694	0.0916748130129	0.0186886582420999	0.0493384849549
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13669947939e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	3.40126138208e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Thiobacterales	4.85894483154e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0.00230799879498	0.0029050128361	8.79908489517e-05	0.000111990443482	0.00461279400964	0.000292887295695	1.43905597928e-05	0.0003576518530159	0.00725177317784	0.0061923551768399	0.00682019687635	0.00688804573913	0.00882800608828
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	4.85894483154e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13669947939e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	0.0	0.0	7.99916808652e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
