,PC1,PC2,Treatment,People,Group,Phase,Timepoint,Description,Env,is_MT10
TTC3T2,0.27787961455876053,0.016066814822712543,TTC,TTC3,TTC,TTC,2.0,TTC3,root:Trinidad and Tobago,False
TTC4T1,0.16652327675975778,0.02780320147108563,TTC,TTC4,TTC,TTC,1.0,TTC4,root:Trinidad and Tobago,False
TTC4T2,0.17260068764733938,0.08378502772705354,TTC,TTC4,TTC,TTC,2.0,TTC4,root:Trinidad and Tobago,False
TTN10T1,0.05753909228312219,-0.03709541549070624,TTN,TTN10,TTN,TTN,1.0,TTN10,root:Trinidad and Tobago,False
TTN10T2,0.07824910060188801,-0.05151006148686249,TTN,TTN10,TTN,TTN,2.0,TTN10,root:Trinidad and Tobago,False
TTN11T1,0.009242559769099563,-0.10720274575391306,TTN,TTN11,TTN,TTN,1.0,TTN11,root:Trinidad and Tobago,False
TTN11T2,0.26453900894996035,-0.05942835685718679,TTN,TTN11,TTN,TTN,2.0,TTN11,root:Trinidad and Tobago,False
TTN12T1,0.26324011886621934,-0.07728293945248867,TTN,TTN12,TTN,TTN,1.0,TTN12,root:Trinidad and Tobago,False
TTN12T2,0.20389954656748518,-0.029871303204174398,TTN,TTN12,TTN,TTN,2.0,TTN12,root:Trinidad and Tobago,False
TTN13T1,0.009101161558481214,-0.10686409061216838,TTN,TTN13,TTN,TTN,1.0,TTN13,root:Trinidad and Tobago,False
TTN13T2,0.22583267734825782,0.058092322893973966,TTN,TTN13,TTN,TTN,2.0,TTN13,root:Trinidad and Tobago,False
TTN14T1,0.07528373559133202,-0.09240058251881314,TTN,TTN14,TTN,TTN,1.0,TTN14,root:Trinidad and Tobago,False
TTN14T2,-0.09918180923910257,-0.13120961600075012,TTN,TTN14,TTN,TTN,2.0,TTN14,root:Trinidad and Tobago,False
TTN1T1,0.34502887446760705,-0.0802458683200867,TTN,TTN1,TTN,TTN,1.0,TTN1,root:Trinidad and Tobago,False
TTN1T2,0.25160887450062314,-0.07576068500360345,TTN,TTN1,TTN,TTN,2.0,TTN1,root:Trinidad and Tobago,False
TTN2T1,-0.01151185651187117,0.0038181032575298228,TTN,TTN2,TTN,TTN,1.0,TTN2,root:Trinidad and Tobago,False
TTN2T2,0.338230981873684,-0.07232675218073442,TTN,TTN2,TTN,TTN,2.0,TTN2,root:Trinidad and Tobago,False
TTN3T1,-0.053645262740401364,-0.1319081723534606,TTN,TTN3,TTN,TTN,1.0,TTN3,root:Trinidad and Tobago,False
TTN3T2,0.02972089958565595,-0.12545154138460624,TTN,TTN3,TTN,TTN,2.0,TTN3,root:Trinidad and Tobago,False
TTN4T1,-0.03283080302732294,-0.13288274873611525,TTN,TTN4,TTN,TTN,1.0,TTN4,root:Trinidad and Tobago,False
TTN4T2,-0.02345242926939499,-0.12670718971995473,TTN,TTN4,TTN,TTN,2.0,TTN4,root:Trinidad and Tobago,False
TTN5T1,0.13131514244558104,-0.004222392094653204,TTN,TTN5,TTN,TTN,1.0,TTN5,root:Trinidad and Tobago,False
TTN5T2,0.227980931248956,-0.070785875273861,TTN,TTN5,TTN,TTN,2.0,TTN5,root:Trinidad and Tobago,False
TTN6T1,-0.11730537400656883,-0.01492879794141388,TTN,TTN6,TTN,TTN,1.0,TTN6,root:Trinidad and Tobago,False
TTN6T2,0.20399300890800018,-0.09595735587465722,TTN,TTN6,TTN,TTN,2.0,TTN6,root:Trinidad and Tobago,False
TTN7T1,0.30174751110499015,-0.08065524203520186,TTN,TTN7,TTN,TTN,1.0,TTN7,root:Trinidad and Tobago,False
TTN7T2,0.3188227790770568,-0.12228805652855286,TTN,TTN7,TTN,TTN,2.0,TTN7,root:Trinidad and Tobago,False
TTN8T1,0.29978267098449213,-0.09817692377871814,TTN,TTN8,TTN,TTN,1.0,TTN8,root:Trinidad and Tobago,False
TTN8T2,0.28566160125095147,-0.09658974401707884,TTN,TTN8,TTN,TTN,2.0,TTN8,root:Trinidad and Tobago,False
TTN9T1,0.10153320553091226,-0.10834933301004195,TTN,TTN9,TTN,TTN,1.0,TTN9,root:Trinidad and Tobago,False
TTN9T2,0.05358317688698751,-0.15154109955505002,TTN,TTN9,TTN,TTN,2.0,TTN9,root:Trinidad and Tobago,False
TTP1T1,0.07132087821192379,-0.15461236347621607,,,,,,,,
TTP1T2,0.2678101837217833,0.08473510028872715,,,,,,,,
TTP1T3,0.25661361389320214,-0.054159909504350234,,,,,,,,
TTP2T1,-0.043173401421723746,-0.11254936687093912,,,,,,,,
TTP2T2,-0.06189512662633414,-0.0334095738477155,,,,,,,,
TTP3T1,0.2502768858037688,-0.02400192719756413,,,,,,,,
