#OTU ID	MTC7T1	MTC7T2	MTT7T3	MTT7T4	MTT7T5	MTT7T7	MTT7T10	MTT7T12	MTT7T13	MTT7T14	MTT7T8	MTT7T9	MTT7T17	MTT7T18	MTT7T19	MTB7T21	MTB7T22	MTB7T23	MTB7T24
k__Bacteria;p__TM7;c__TM7-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0956862831e-05	0.0	0.0	6.03751713145e-06	0.0	6.51283353849e-06	3.4398344293000005e-05	1.33880458139e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0181099458931	0.0410465500847	0.0219038580317	0.0595935414863	0.0145883512152	0.000162134774531	0.0011381493433	0.0455641140828999	0.0106949371062999	0.000419975804379	0.0645652082038	0.00248421581289	6.51283353849e-05	0.00852505632729	0.00355452616359	0.0547733004985	0.00458042808179	0.00688439910511	0.00277970813065
k__Bacteria;p__Tenericutes;c__RF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	0.000237711356402	0.0015064551603599	0.0043294453216499	0.00571354280709	6.75561560547e-06	0.000122868395015	0.00318844708383	0.0613839956713	0.000908902860223	0.0191570418581	4.48414406658e-05	3.90770012309e-05	0.0	6.69402290695e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__[Thermi];c__Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73305738217e-06	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	5.16763818265e-06	0.0	0.0	0.0	0.0	0.0	0.0	6.68016059106e-06	0.0	0.0	0.0	0.0	0.0	2.00820687208e-05	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	1.03352763653e-05	0.0	6.36683135537e-05	0.000109481059777	5.40449248438e-05	0.000194002728972	9.31333340638e-05	5.34412847285e-05	9.40244338162e-05	0.000271688270915	0.0002959535083939	0.000221436340309	0.000470110705338	4.01641374417e-05	8.93690544754e-05	3.92159938509e-05	0.0	4.16956219597e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.00192075183715	0.00210839637852	0.0029074584595	0.00690164518922	0.0673308517626	0.0108495186623999	0.0721237478741	0.0132523255941	0.00501680060389	0.036751017031	0.0626815028588	0.0653788204907	0.0420794174922	0.0654944475339	0.0175918921995	0.00198597898834	0.00658044376819	0.0031441923139999	0.0049617790132
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.000780305433841	0.0008319897474059	0.00070803392537	0.000432944532165	0.00098532953799	0.000101334234082	0.00972600347912	0.00550034514118	0.00184372432313	0.00283953790125	0.00438927495457	0.00556033864256	0.0117165875357	0.00773389440855	0.00185424434522	0.00426985482494	0.00142746217617	0.00104518480768	0.000542043085476
k__Bacteria;p__Bacteroidetes;c__;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
